Discussion ID A,Argument ID A,Discussion ID B,Argument ID B,Comparison
9620,3,17885,26,A
44259,2,21034,2,A
17885,62,26185,1,Tie
42203,3,9620,3,B
3344,1,6901,4,A
21336,3,12888,2,A
26712,7,9620,1,B
9620,2,9620,1,A
26786,1,48,4,A
3303,5,21034,2,B
21034,2,5804,6,Tie
48,1,3303,8,B
3303,5,22417,3,B
29702,5,22396,5,Tie
22803,2,39873,23,A
17885,26,4085,6,Tie
29438,2,13443,5,A
43194,6,42203,3,B
43097,6,10712,4,Tie
3303,5,26712,7,B
42203,3,28402,8,B
17885,63,9620,2,A
29438,2,21034,2,A
3303,1,21323,2,A
13443,5,48,4,B
10712,4,9620,2,A
43097,6,44259,2,B
17885,64,9620,3,A
16223,62,26185,1,B
3344,1,43097,6,A
6841,2,911,3,B
2865,5,11782,1,A
21034,2,9620,1,Tie
26089,1,24031,5,A
22396,5,21323,2,B
22396,5,12888,2,B
5804,6,17885,62,A
31986,1,16554,7,Tie
17885,62,16554,7,B
17885,63,9620,1,A
29702,5,42203,3,Tie
44259,2,26712,7,B
31986,1,3303,6,Tie
13443,5,9620,1,B
17885,26,26089,3,A
3303,1,21034,4,A
911,3,4085,6,B
42203,3,39873,23,B
5804,6,48,4,Tie
4085,6,3303,5,A
911,3,3344,1,Tie
11782,1,22396,4,B
17885,64,42203,3,A
26786,1,16223,62,A
6901,4,17885,63,A
2865,5,16223,62,Tie
43097,6,9620,2,B
26089,1,4085,6,A
9620,3,26089,3,A
3303,1,44259,2,B
10712,4,26712,7,B
17885,26,3303,5,A
12888,2,21323,2,A
3303,5,44259,2,B
22417,3,31986,1,B
13443,5,17885,62,B
3303,5,48,1,B
911,3,3303,1,A
3303,1,26089,3,A
22417,3,16223,62,A
43097,6,3303,5,A
43194,6,10712,3,B
2865,5,22803,2,A
26712,7,22417,3,B
29438,2,3303,8,A
5804,6,22803,2,A
29702,5,24031,5,B
43194,5,3344,1,Tie
28402,8,21323,2,B
3344,1,26089,3,Tie
28402,8,9620,3,Tie
26712,7,5804,6,B
9620,2,16223,62,B
16223,62,22803,2,A
911,3,17885,26,A
24031,5,17885,26,B
16223,22,11782,1,B
48,4,9620,1,A
48,4,11782,1,A
26185,1,11782,1,Tie
48,1,26712,7,B
43194,5,17885,26,A
43194,6,24031,5,Tie
26089,1,3344,1,A
6901,4,26786,1,A
4085,6,21323,2,A
28367,6,9620,3,B
12888,2,43097,6,A
9620,1,32278,5,B
17885,26,21034,4,A
42203,3,26089,1,Tie
21323,2,44259,2,A
2925,5,40441,4,B
36961,4,4194,6,A
4194,6,26789,5,B
22418,8,36289,10,A
20895,1,14483,1,B
10831,4,40990,3,A
2925,5,42399,13,B
39228,1,22556,1,B
10831,4,31391,2,A
995,8,42399,13,B
22418,8,24563,41,A
26789,3,43683,5,B
22418,8,40990,3,A
42041,24,995,8,A
24563,9,30699,1,Tie
9819,4,26789,5,A
8930,7,14483,1,B
29042,10,39228,1,B
2925,5,995,8,Tie
24563,25,10831,4,B
30489,7,26789,7,A
30699,1,30320,8,A
2925,5,29246,3,A
39228,1,29246,3,A
10216,12,40441,4,A
9819,4,24563,9,A
42041,16,10831,4,A
4194,7,4194,4,B
4194,8,26789,5,B
8930,7,20895,1,B
30699,1,8930,7,A
42041,19,2925,4,Tie
10216,12,39228,1,A
29042,10,20895,1,A
24563,9,26789,3,B
20895,1,42041,24,Tie
42041,16,4194,5,A
995,7,40990,3,A
4194,9,26789,7,B
36289,10,34104,11,B
42095,1,24239,4,A
37446,5,31391,2,B
14483,1,42041,20,B
22556,1,30320,1,Tie
11323,4,4194,7,B
26789,3,6610,1,B
4194,4,26789,6,B
37446,5,30320,1,Tie
29042,10,42041,19,B
4194,6,26789,6,B
4194,5,9819,4,B
995,8,10831,4,B
995,8,38188,37,B
24563,9,29042,10,B
30699,1,10216,12,B
30489,7,29042,10,Tie
9819,4,30489,7,A
42095,1,24563,9,A
36961,4,36289,10,B
4194,4,30489,7,B
6610,1,2925,5,A
13118,1,9819,4,A
4194,7,26789,7,A
36961,4,13118,6,A
4194,9,42095,1,B
24563,41,4194,7,B
40441,4,995,8,A
13118,1,4194,6,A
40441,4,42041,20,A
42399,13,34104,11,A
4194,8,4194,5,A
4194,9,24563,9,A
40441,4,39228,1,B
30699,1,2925,4,B
14483,1,22556,1,B
13118,6,25810,3,A
22556,1,38188,37,A
2925,5,42041,20,A
13118,6,26789,5,A
26789,6,10216,12,B
4194,7,9819,4,B
43683,5,40441,4,A
4194,6,13118,6,B
22556,1,36289,10,B
42399,13,38188,37,Tie
9819,4,26789,6,A
29042,10,30320,8,A
10216,12,2925,5,B
22556,1,10831,4,A
42041,16,9819,4,A
4194,5,30489,7,B
4194,9,4194,6,Tie
22556,1,42399,13,B
30699,1,20895,1,A
22418,8,4194,7,B
30320,8,38188,37,B
30320,8,37446,5,B
4194,6,42095,1,B
4194,8,4194,7,B
43683,5,20895,1,B
30699,1,14483,1,A
2925,5,39228,1,B
6610,1,30320,8,A
4194,4,25810,3,B
13118,6,26789,6,Tie
24563,9,26789,5,B
4194,4,24563,9,A
42041,24,42041,20,A
42095,1,26789,3,A
42041,24,22556,1,B
26789,7,6610,1,A
11323,4,13118,1,B
26789,7,24239,4,A
39228,1,42399,13,B
37446,5,42399,13,Tie
42041,16,36961,4,B
30699,1,40441,4,Tie
10216,12,20895,1,A
42095,1,20895,1,Tie
22556,1,40990,3,A
39228,1,30320,1,B
11323,4,4194,5,A
995,7,13118,6,Tie
30320,8,39228,1,Tie
14483,1,29246,3,A
13118,1,40990,3,B
13118,1,36289,10,B
42399,13,29246,3,B
20895,1,42041,19,B
6610,1,20895,1,A
4194,6,9819,4,B
36961,4,40990,3,A
4194,5,24563,9,Tie
25810,3,24239,4,Tie
36961,4,995,7,Tie
2925,5,37446,5,A
26789,6,26789,7,Tie
42041,24,30320,1,B
42041,20,29246,3,B
24563,41,13118,6,B
36961,4,34104,11,B
14483,1,42399,13,B
20895,1,30320,8,Tie
2925,4,22556,1,B
6610,1,39228,1,Tie
9819,4,25810,3,B
4194,4,13118,6,B
42095,1,26789,6,Tie
24239,4,20895,1,B
42041,19,39228,1,A
4194,8,42095,1,B
2925,4,995,8,A
43683,5,6610,1,A
24239,4,6610,1,B
30320,1,31391,2,A
22556,1,37446,5,B
13118,1,4194,5,A
29246,3,31391,2,A
38188,37,31391,2,Tie
30489,7,25810,3,A
42041,16,22418,8,A
995,7,31391,2,B
37446,5,40990,3,A
22418,8,4194,4,A
43683,5,14483,1,A
24563,25,40990,3,B
4194,6,26789,7,B
24239,4,2925,5,B
4194,8,4194,9,A
37446,5,34104,11,Tie
2925,4,37446,5,A
29042,10,8930,7,A
14483,1,38188,37,B
13118,6,26789,7,B
8930,7,40441,4,A
14483,1,42041,19,B
24239,4,39228,1,B
38188,37,29246,3,B
11323,4,10831,4,B
43683,5,42041,24,B
43683,5,39228,1,A
26789,6,20895,1,B
20895,1,2925,5,A
30320,1,34104,11,A
29246,3,36289,10,B
24239,4,30320,8,B
30320,8,2925,4,B
4194,5,13118,6,B
30489,7,8930,7,A
37446,5,38188,37,A
24563,25,4194,8,B
11323,4,22418,8,Tie
995,7,4194,7,Tie
25810,3,26789,3,A
11323,4,4194,4,A
24563,41,13118,1,A
30699,1,39228,1,Tie
30320,8,42041,19,B
2925,5,14483,1,A
11323,4,34104,11,B
22418,8,995,7,A
25810,3,26789,7,A
995,8,40990,3,B
4194,9,25810,3,B
4194,6,25810,3,Tie
11323,4,9819,4,A
10831,4,34104,11,Tie
995,7,4194,5,Tie
24239,4,14483,1,Tie
42041,19,29246,3,A
26789,5,43683,5,A
42041,19,995,8,A
13118,6,24563,9,A
4194,7,4194,6,B
36961,4,4194,4,A
2925,4,42041,20,A
995,7,4194,8,Tie
26789,7,43683,5,B
37446,5,36289,10,B
30489,7,24239,4,A
26789,3,30699,1,B
2925,5,42041,19,A
4194,8,26789,3,A
26789,5,8930,7,B
25810,3,26789,6,A
6610,1,40441,4,B
4194,4,42095,1,B
20895,1,2925,4,B
42399,13,10831,4,B
31391,2,40990,3,A
40441,4,42041,19,B
36961,4,4194,5,A
22418,8,10831,4,B
42041,24,38188,37,Tie
24563,9,20895,1,B
13118,6,30489,7,A
22556,1,34104,11,A
4194,4,9819,4,B
39228,1,42041,20,B
4194,4,4194,6,B
13118,6,42095,1,B
4194,8,24563,9,A
42041,20,40990,3,A
42041,16,4194,4,B
995,7,24563,41,Tie
24563,25,4194,9,Tie
30489,7,26789,3,Tie
30320,8,14483,1,A
42041,16,4194,6,Tie
30320,1,36289,10,A
26789,6,6610,1,Tie
37446,5,29246,3,A
995,8,42041,20,B
42041,20,38188,37,B
995,7,34104,11,B
4194,4,26789,3,B
4194,7,26789,3,A
42041,16,4194,8,A
25810,3,30699,1,A
26789,7,10216,12,B
24239,4,2925,4,A
10216,12,30320,8,B
8930,7,2925,5,B
30320,8,995,8,A
4194,4,26789,5,A
4194,8,4194,6,Tie
4194,8,25810,3,B
24563,25,24563,41,A
42399,13,40990,3,B
10216,12,14483,1,A
24563,41,40990,3,B
30489,7,26789,6,A
4194,9,30489,7,B
42399,13,31391,2,A
30489,7,43683,5,B
8930,7,2925,4,B
10216,12,8930,7,A
42041,16,31391,2,B
995,7,36289,10,B
30699,1,6610,1,Tie
2925,5,38188,37,A
25810,3,29042,10,B
42095,1,25810,3,A
29042,10,2925,5,A
995,7,24563,25,A
42041,24,2925,5,Tie
26789,7,29042,10,A
22418,8,4194,5,A
42041,16,995,7,A
4194,4,26789,7,B
995,8,22556,1,B
14483,1,37446,5,B
4194,7,4194,5,Tie
42041,24,39228,1,A
36961,4,24563,41,A
13118,1,4194,7,A
24563,9,26789,6,B
26789,6,26789,3,A
25810,3,10216,12,B
22418,8,4194,9,A
22418,8,34104,11,Tie
4194,6,4194,5,Tie
30699,1,42041,19,Tie
4194,8,13118,6,A
2925,4,30320,1,Tie
43683,5,8930,7,B
24563,41,4194,8,B
24563,41,31391,2,Tie
4194,6,30489,7,B
43683,5,42041,19,A
24563,25,36289,10,A
36961,4,9819,4,A
42041,24,2925,4,B
40441,4,30320,8,A
11323,4,36289,10,B
4194,4,4194,5,B
42041,19,42041,20,Tie
995,8,29246,3,B
42041,24,14483,1,A
8930,7,6610,1,A
24563,41,4194,6,B
4194,9,4194,4,Tie
40441,4,2925,4,Tie
38188,37,40990,3,A
26789,5,24239,4,A
4194,7,25810,3,Tie
24563,41,9819,4,A
42041,16,4194,9,A
4194,9,9819,4,B
36961,4,22418,8,B
42095,1,6610,1,A
30320,8,42399,13,B
42095,1,43683,5,Tie
4194,7,26789,5,B
24563,9,6610,1,Tie
24563,25,4194,4,Tie
4194,7,42095,1,Tie
4194,9,26789,5,B
36961,4,24563,25,A
9819,4,13118,6,B
37446,5,10831,4,A
4194,9,4194,7,B
42095,1,30489,7,Tie
36961,4,4194,7,A
29246,3,34104,11,B
995,7,4194,9,Tie
36961,4,10831,4,A
42399,13,30320,1,B
8930,7,24239,4,A
42041,24,42041,19,Tie
4194,8,26789,7,Tie
13118,1,34104,11,B
11323,4,40990,3,B
11323,4,24563,25,A
4194,5,26789,6,Tie
6610,1,42041,24,A
26789,6,29042,10,B
29246,3,10831,4,B
2925,5,2925,4,Tie
26789,3,10216,12,B
4194,5,26789,7,B
24563,41,4194,5,Tie
26789,5,29042,10,Tie
30489,7,30699,1,B
42041,20,10831,4,Tie
22418,8,24563,25,B
10216,12,42041,19,Tie
26789,5,30699,1,B
42095,1,29042,10,Tie
8930,7,42041,19,A
42041,16,4194,7,A
22556,1,29246,3,A
43683,5,2925,5,B
4194,5,26789,3,Tie
9819,4,42095,1,B
22418,8,4194,6,B
2925,4,38188,37,B
26789,5,26789,3,Tie
42041,20,34104,11,B
14483,1,995,8,A
29042,10,10216,12,B
24563,41,4194,9,Tie
8930,7,30320,8,B
13118,1,4194,9,A
26789,3,8930,7,B
20895,1,40441,4,B
22418,8,13118,1,A
42041,16,24563,41,B
24563,25,4194,6,Tie
13118,1,10831,4,B
42041,16,24563,25,A
20895,1,39228,1,A
8930,7,42041,24,B
37446,5,42041,20,A
25810,3,26789,5,A
26789,6,24239,4,B
29042,10,14483,1,Tie
10216,12,24239,4,A
29042,10,30699,1,B
24563,25,13118,1,B
13118,1,31391,2,B
24563,9,10216,12,B
995,8,34104,11,B
26789,7,26789,3,Tie
29042,10,24239,4,A
39228,1,38188,37,A
38188,37,10831,4,B
30489,7,26789,5,A
30320,8,29246,3,B
26789,5,6610,1,B
26789,5,26789,7,Tie
22556,1,31391,2,A
42399,13,42041,20,B
26789,5,10216,12,B
42041,24,30320,8,A
42041,16,11323,4,B
11323,4,36961,4,A
26789,6,30699,1,A
42041,19,42399,13,Tie
26789,7,20895,1,Tie
42041,24,40441,4,B
24239,4,42041,19,Tie
26789,3,29042,10,Tie
24563,9,30489,7,Tie
8930,7,39228,1,A
4194,5,42095,1,B
14483,1,2925,4,A
11323,4,24563,41,B
42095,1,30699,1,Tie
13118,1,4194,8,A
24563,25,4194,7,Tie
11323,4,4194,9,Tie
30699,1,42041,24,B
43683,5,30699,1,A
42041,24,42399,13,Tie
13118,6,26789,3,A
9819,4,26789,7,B
24563,41,10831,4,B
29042,10,2925,4,Tie
25810,3,8930,7,A
24563,25,9819,4,B
40441,4,38188,37,B
4194,7,13118,6,A
4194,7,30489,7,B
11323,4,995,7,A
36289,10,40990,3,A
4194,9,26789,3,B
2925,4,39228,1,A
995,8,30320,1,B
30320,8,30320,1,B
30320,8,22556,1,B
42041,16,36289,10,Tie
995,8,31391,2,Tie
24563,25,4194,5,Tie
6610,1,14483,1,A
4194,7,26789,6,A
22418,8,4194,8,A
2925,5,30320,1,Tie
42095,1,26789,7,B
2925,5,22556,1,Tie
995,7,10831,4,Tie
43683,5,24239,4,A
26789,3,20895,1,B
995,7,9819,4,Tie
36961,4,4194,9,A
40441,4,22556,1,B
43683,5,29042,10,Tie
30489,7,6610,1,A
4194,8,9819,4,B
4194,5,25810,3,B
10216,12,6610,1,Tie
11323,4,4194,8,A
43683,5,30320,8,A
30699,1,24239,4,A
30320,8,42041,20,A
42041,16,34104,11,Tie
24563,41,4194,4,Tie
4194,5,26789,5,Tie
24563,9,43683,5,B
42095,1,26789,5,Tie
36961,4,4194,8,A
43683,5,2925,4,B
29246,3,40990,3,B
2925,4,29246,3,A
30320,1,29246,3,A
38188,37,34104,11,A
22556,1,42041,20,A
29042,10,6610,1,A
38188,37,36289,10,B
26789,7,30699,1,B
42041,24,37446,5,A
42095,1,8930,7,B
24563,9,26789,7,A
2925,5,30320,8,A
4194,6,24563,9,A
26789,6,8930,7,A
24563,41,36289,10,B
40441,4,29246,3,A
40441,4,14483,1,A
30489,7,10216,12,B
6610,1,42041,19,A
25810,3,6610,1,A
24563,25,34104,11,B
42041,19,38188,37,B
42041,19,37446,5,A
31391,2,36289,10,B
38188,37,30320,1,B
24563,9,8930,7,A
22418,8,9819,4,A
995,7,4194,4,A
10831,4,36289,10,Tie
29042,10,40441,4,Tie
995,8,36289,10,B
40441,4,30320,1,B
995,8,37446,5,B
34104,11,40990,3,Tie
30489,7,20895,1,Tie
36961,4,31391,2,A
10216,12,2925,4,Tie
4194,7,24563,9,A
24563,9,24239,4,A
42041,20,36289,10,Tie
14483,1,30320,1,B
6610,1,2925,4,A
11323,4,13118,6,B
39228,1,995,8,Tie
42041,20,31391,2,B
24563,41,34104,11,B
995,7,4194,6,B
13118,1,13118,6,B
11323,4,31391,2,B
39228,1,37446,5,B
26789,7,8930,7,B
995,7,13118,1,B
22418,8,31391,2,A
4194,8,30489,7,B
13118,1,4194,4,A
42041,24,29246,3,Tie
4194,6,26789,3,Tie
24239,4,40441,4,Tie
2925,4,42399,13,A
24563,25,31391,2,B
42041,16,40990,3,A
42041,16,13118,1,B
26789,6,43683,5,B
42041,19,22556,1,B
42041,20,30320,1,Tie
25810,3,20895,1,A
30320,1,40990,3,A
11323,4,4194,6,A
26789,3,24239,4,B
30699,1,2925,5,A
42041,16,13118,6,A
14483,1,39228,1,A
4194,9,4194,5,Tie
36961,4,13118,1,A
24563,9,25810,3,Tie
42041,19,30320,1,B
22418,8,13118,6,A
26789,5,20895,1,B
42399,13,36289,10,A
30320,1,10831,4,A
40441,4,42399,13,B
42095,1,10216,12,Tie
43683,5,10216,12,A
40441,4,37446,5,A
4194,9,26789,6,B
10216,12,42041,24,Tie
29042,10,42041,24,A
24563,25,13118,6,B
24239,4,42041,24,B
25810,3,43683,5,B
4194,8,4194,4,Tie
4194,9,13118,6,B
31391,2,34104,11,Tie
26789,5,26789,6,Tie
9819,4,26789,3,A
4194,8,26789,6,B
42495,1,25519,4,A
8567,13,39928,15,B
7149,1,11438,1,B
26366,3,30716,1,A
226,7,38905,4,A
21934,4,12310,6,B
11200,2,8402,4,Tie
30958,19,25519,21,A
7149,1,34850,5,Tie
34850,2,11438,1,A
550,1,11438,1,B
15711,5,7149,1,A
8402,4,25519,4,A
38905,23,39355,4,A
9008,2,27972,1,A
14705,3,39928,26,A
42495,1,25519,19,B
38905,23,21934,4,A
5150,3,26366,3,A
8567,10,25519,4,Tie
11647,1,39928,26,B
11647,3,34168,1,B
226,7,33086,1,A
41068,1,30716,1,A
40356,2,30958,20,A
11200,1,11200,5,B
8567,13,38905,4,Tie
25519,30,39928,26,A
6730,5,39928,21,A
34850,2,34850,5,A
5150,3,30958,3,A
39928,15,38905,10,B
25519,19,15711,5,Tie
39355,4,39928,15,A
30958,3,38905,4,A
25519,30,42495,1,A
15711,5,11438,1,A
34850,4,26366,1,A
25519,4,11200,1,B
33086,1,8402,4,B
550,1,26366,2,B
30716,1,8567,13,A
550,1,11200,5,Tie
12310,6,39928,17,B
25519,14,1819,6,A
30716,6,21934,1,B
8567,10,8402,4,B
39928,15,39928,26,A
550,1,7149,1,Tie
34850,5,1819,13,B
38905,23,34168,1,A
42495,5,41068,1,Tie
11647,1,39928,14,B
27972,1,25519,3,Tie
25519,3,7149,1,A
11200,5,30958,19,A
34011,5,34850,10,A
38905,4,39928,26,A
21934,4,30958,3,Tie
550,1,25519,3,Tie
28724,4,8402,4,A
3394,4,8567,13,A
34850,10,43209,1,A
5150,2,30958,19,B
39355,1,25519,7,A
14705,3,1819,6,B
30716,1,30958,3,A
11438,1,42495,5,A
21934,2,25519,19,Tie
34850,3,5150,2,B
25519,30,9008,5,A
34168,1,6730,5,A
25519,21,11647,3,A
1819,18,15711,5,A
3394,4,25519,14,B
39355,1,33086,1,Tie
11200,5,41068,1,A
25519,19,34136,1,B
39355,4,12310,6,B
30716,6,7149,1,A
34850,2,15711,5,Tie
30716,1,25519,14,Tie
7149,1,41068,1,B
39355,1,40356,2,A
26366,2,5150,2,B
34136,1,550,1,B
11438,1,34850,4,B
21934,2,33953,2,Tie
11200,5,21934,1,B
11200,2,34850,3,Tie
11200,2,42495,1,B
11647,1,1819,6,Tie
30716,6,42495,5,A
15711,5,34011,5,Tie
25519,4,34011,5,B
25519,7,1819,18,Tie
39928,15,1819,6,A
25519,30,14705,3,Tie
39928,14,39928,17,B
25519,30,39928,21,A
30716,6,11200,5,B
39355,1,33953,2,B
3394,4,21934,10,B
26366,3,12310,6,B
21934,10,38905,10,B
40356,2,14705,3,Tie
34850,5,41068,1,A
11200,1,34850,10,B
8567,10,11200,1,B
30958,20,1819,6,Tie
26366,3,21934,10,A
21934,1,30716,1,B
226,7,33953,2,B
9008,2,11200,2,B
11200,1,43209,1,A
33086,1,34850,3,Tie
34136,1,34850,2,A
226,7,28724,4,B
7149,1,11200,5,B
34850,4,30716,1,A
41068,1,34168,1,B
34850,4,5150,3,B
30958,20,14705,3,B
12310,6,38905,10,B
8567,14,25519,7,A
8567,13,39928,17,B
25519,21,34168,1,B
43209,1,11647,3,A
26366,1,3394,4,A
14705,3,39928,17,A
11647,3,41068,1,A
34850,2,11200,1,A
25519,30,38905,4,A
21934,2,1819,18,B
34011,5,30716,6,Tie
43209,1,30958,19,B
25519,14,6730,5,B
25519,14,39928,26,A
5150,3,21934,4,A
34850,4,3394,4,A
33086,1,34136,1,Tie
34011,5,34850,5,A
14705,3,11200,2,A
38905,23,26366,1,A
9008,5,28724,4,Tie
11200,2,27972,1,B
11438,1,43209,1,A
15711,5,34850,10,A
25519,14,21934,10,A
39355,1,25519,30,Tie
25519,7,34850,3,B
21934,10,38905,4,A
1819,6,39928,17,A
8567,14,42495,1,B
39355,1,30958,20,B
21934,10,6730,5,A
25519,4,15711,5,B
39355,1,38905,4,B
39355,4,30716,1,B
33953,2,34136,1,A
15711,5,5150,2,A
5150,3,30716,1,A
21934,2,42495,1,Tie
11647,1,21934,10,B
34850,2,11200,5,A
39355,4,21934,4,Tie
30958,3,1819,6,A
8402,4,11200,1,A
30716,6,34850,10,A
226,7,42495,1,A
42495,5,5150,3,A
11200,1,30716,6,B
7149,1,25519,21,A
38905,10,39928,17,Tie
25519,4,5150,2,A
34850,3,34850,2,A
33086,1,27972,1,Tie
9008,2,33086,1,Tie
8567,14,28724,4,A
11647,3,30716,1,Tie
8567,14,38905,10,A
39355,1,11200,2,B
34850,3,34011,5,A
34850,2,25519,3,A
8567,13,39928,21,A
30958,19,11647,3,A
39355,1,42495,1,B
11200,5,43209,1,A
25519,30,39928,17,A
34850,5,34850,4,A
14705,3,9008,2,A
34850,4,21934,4,A
30958,20,9008,5,A
40356,2,39928,26,A
34850,2,5150,2,B
5150,2,34850,10,A
30958,19,34850,4,A
6730,5,39928,14,Tie
34850,5,11438,1,A
34850,2,34011,5,A
34850,10,1819,13,B
8402,4,15711,5,B
30958,20,9008,2,A
25519,7,34136,1,Tie
28724,4,25519,19,B
26366,1,25519,14,B
8567,10,25519,19,Tie
21934,10,1819,6,A
25519,14,8567,13,A
15711,5,550,1,Tie
1819,13,21934,4,A
21934,2,33086,1,B
9008,5,38905,4,B
30958,20,38905,10,A
34850,5,11647,3,A
12310,6,1819,6,B
9008,2,1819,18,Tie
11438,1,41068,1,B
6730,5,38905,10,A
9008,5,25519,7,B
25519,14,30958,3,A
11438,1,21934,1,Tie
28724,4,33086,1,B
9008,2,25519,19,B
8402,4,25519,3,A
25519,4,25519,3,B
25519,21,3394,4,A
38905,4,1819,6,B
43209,1,42495,5,B
11200,2,21934,2,B
39355,1,39928,14,A
25519,30,21934,2,Tie
38905,4,39928,17,B
21934,10,39928,26,A
25519,30,226,7,A
8567,14,21934,2,B
11647,3,39355,4,Tie
15711,5,43209,1,A
21934,1,41068,1,B
25519,14,39928,14,A
26366,2,34011,5,A
26366,2,30958,19,Tie
30716,6,41068,1,A
43209,1,38905,23,A
25519,30,33953,2,B
25519,30,28724,4,Tie
11647,1,6730,5,A
11647,3,21934,4,A
8567,10,34136,1,Tie
8402,4,34011,5,A
25519,4,1819,18,B
7149,1,1819,13,A
40356,2,39928,21,A
226,7,39928,17,B
3394,4,26366,3,B
40356,2,38905,10,Tie
11200,2,33953,2,A
11200,5,34850,10,A
34011,5,5150,2,Tie
34850,3,11200,1,B
42495,5,26366,3,A
34850,5,21934,1,A
30958,3,39928,17,B
39355,1,8567,14,B
11200,1,11438,1,B
25519,7,33086,1,B
40356,2,39928,14,A
34850,3,27972,1,A
26366,3,8567,13,A
34168,1,39928,15,A
8567,13,21934,10,A
34850,4,26366,3,A
33953,2,33086,1,A
33953,2,8402,4,B
39928,26,39928,14,A
27972,1,26366,2,B
26366,1,30958,3,A
42495,1,34850,3,A
5150,3,8567,13,B
25519,7,42495,1,B
15711,5,26366,2,A
34136,1,5150,2,A
11200,2,34136,1,B
26366,2,11438,1,A
39355,4,6730,5,B
34850,3,34136,1,A
9008,5,9008,2,A
8567,14,9008,5,A
11200,1,34850,5,A
25519,7,28724,4,B
8567,14,38905,4,A
30958,20,11200,2,A
21934,10,39928,15,A
25519,3,11200,5,B
5150,3,3394,4,A
26366,3,6730,5,B
5150,3,39355,4,A
25519,30,33086,1,A
25519,30,39928,14,A
33953,2,25519,19,A
27972,1,550,1,Tie
28724,4,42495,1,B
34850,4,39355,4,A
21934,4,39928,15,B
34168,1,30958,3,A
3394,4,21934,4,A
39928,26,39928,21,A
27972,1,34850,2,B
25519,21,30716,1,A
34850,2,550,1,B
25519,3,34850,5,Tie
226,7,25519,7,A
25519,4,26366,2,B
28724,4,34136,1,B
11647,1,39928,17,A
25519,14,39928,21,A
40356,2,28724,4,Tie
30958,20,42495,1,B
12310,6,39928,26,B
8567,10,550,1,A
34850,2,7149,1,B
25519,21,34850,4,B
21934,4,8567,13,B
34168,1,26366,1,B
34850,4,42495,5,Tie
39355,4,21934,10,A
11647,3,3394,4,Tie
26366,1,21934,4,A
3394,4,6730,5,B
38905,23,3394,4,A
8567,10,5150,2,Tie
34850,3,26366,2,A
7149,1,21934,1,B
11647,3,26366,3,B
5150,3,25519,14,A
11200,2,8567,10,B
5150,2,11200,5,Tie
7149,1,42495,5,Tie
40356,2,9008,2,Tie
34850,3,550,1,A
34850,5,42495,5,B
8567,14,39928,17,Tie
8402,4,34850,2,Tie
39355,4,11647,1,B
9008,2,34850,3,B
15711,5,11200,5,B
42495,1,8402,4,A
34011,5,43209,1,A
28724,4,27972,1,B
9008,2,34136,1,B
1819,13,3394,4,A
26366,3,11647,1,B
30716,6,34850,4,Tie
25519,21,26366,1,B
38905,23,42495,5,A
34850,3,8402,4,B
42495,1,8567,10,Tie
11200,2,28724,4,A
5150,2,30716,6,A
42495,1,1819,18,Tie
30716,1,6730,5,A
30716,6,30958,19,B
34136,1,25519,3,B
30958,20,39928,14,A
1819,18,25519,3,Tie
11200,2,25519,19,A
39355,4,26366,3,A
11200,1,30958,19,B
25519,30,8567,14,A
34136,1,1819,18,B
25519,7,21934,2,Tie
9008,5,39928,14,A
25519,21,39355,4,A
11438,1,11647,3,B
8567,13,1819,6,B
226,7,9008,5,A
14705,3,33086,1,B
42495,5,30716,1,B
34850,3,25519,3,B
25519,3,30716,6,A
34168,1,11647,1,A
11647,1,38905,10,Tie
8567,14,39928,26,A
21934,1,5150,3,B
25519,30,25519,7,B
11647,3,5150,3,A
8402,4,5150,2,A
34136,1,26366,2,B
38905,23,26366,3,A
9008,2,33953,2,A
26366,3,21934,4,A
42495,5,26366,1,A
26366,2,30716,6,B
9008,5,38905,10,A
34850,4,41068,1,A
8567,14,39928,14,A
5150,3,21934,10,Tie
11647,1,12310,6,B
5150,3,6730,5,Tie
40356,2,33953,2,B
8567,14,14705,3,A
11200,1,25519,3,Tie
39355,1,9008,2,A
25519,4,25519,19,Tie
14705,3,21934,2,A
21934,1,1819,13,B
34011,5,25519,3,A
25519,30,11200,2,A
27972,1,11200,1,B
9008,5,33953,2,A
26366,2,34850,10,B
39928,21,39928,17,B
40356,2,42495,1,A
33086,1,8567,10,Tie
38905,4,39928,21,B
38905,10,39928,14,Tie
42495,1,33086,1,Tie
25519,21,41068,1,B
34850,5,34850,10,A
1819,6,39928,14,B
1819,13,30716,1,B
30958,19,38905,23,B
38905,23,30716,1,A
25519,19,5150,2,A
14705,3,25519,7,B
8567,10,26366,2,B
39355,1,28724,4,A
40356,2,38905,4,A
9008,5,1819,6,A
28724,4,34850,3,B
21934,1,11647,3,A
25519,3,30958,19,Tie
226,7,9008,2,B
21934,1,26366,1,A
226,7,1819,6,A
39928,15,39928,21,A
39355,4,8567,13,A
42495,1,27972,1,Tie
21934,1,42495,5,B
11200,1,34011,5,Tie
9008,2,8567,10,A
28724,4,8567,10,B
34850,3,25519,4,Tie
9008,5,33086,1,B
25519,4,27972,1,Tie
11200,5,42495,5,A
33953,2,1819,18,Tie
39928,15,39928,17,A
25519,4,34850,2,Tie
25519,14,11647,1,Tie
226,7,30958,20,B
34850,10,41068,1,A
11200,2,1819,18,A
1819,18,5150,2,B
